Poblacion,IMCV,Ind Entorno de la vivienda,Ind Servicios publicos,Ind Medio ambiente,Ind Escolaridad,Ind Desescolarizacion,Ind Movilidad,Ind Capital fisico,Ind Participacion,Ind Libertad y seguridad,Ind Vulnerabilidad,Ind Salud,Ind Trabajo,Ind Recreacion,Ind Percepcion calidad de vida,Ind Ingreso per-capita,Cultura Ciudadana,Infraestructura,Medio Ambiente,Movilidad,Salud,Seguridad,Biblioteca,Desarrollo Economico,Educacion,Educacion Superior,FONVALMED,Gestion del riesgo,Gestion y Control Territorial,INR,Inclusion Social,Jovenes,Mujeres,Museo Casa la Memoria,Participacion,APP,DAP,Gestion Humana,INDER,Vivienda
6687,37.71,1.68,2.66,4.89,1.69,4.1,1.48,4.35,1.36,2.14,7.25,2.62,0.77,0.11,1.46,1.39,359000000,173000000,365000000,169000000,390000000,158000000,,1320000000,6860000000,38400000,,,249000000,678000000,714000000,20100,59500000,40500000,348000000,,,,,124000000
86315,39.69,2.75,3.64,2.56,2.03,4.14,1.35,4.97,1.12,1.81,9.16,2.6,0.71,0.04,1.45,1.32,1900000000,1460000000,339000000,171000000,4650000000,509000000,,1370000000,43600000000,577000000,,60000000,1430000000,4870000000,14000000000,38200000,358000000,42100000,602000000,457000000,,,,4960000000
37478,45.06,3.66,3.62,3.05,2.21,4.12,1.3,6.05,1.21,1.72,10.74,3.42,0.68,0.04,1.53,1.71,554000000,1280000000,365000000,189000000,1990000000,206000000,,439000000,11900000000,220000000,,,584000000,1040000000,2180000000,2410000,124000000,40500000,523000000,,,,,258000000
113202,44.77,3.19,3.95,3.17,2.19,4.14,1.45,5.7,1.37,1.79,10.43,3.43,0.75,0.02,1.46,1.66,2590000000,2460000000,339000000,179000000,4640000000,507000000,12700000,1460000000,47700000000,461000000,,153000000,565000000,4270000000,7690000000,13500000,224000000,41600000,732000000,,,,,259000000
18789,37.19,1.96,2.49,4.11,1.81,4.15,1.05,4.54,1.16,1.91,8.04,2.91,0.8,0.03,1.36,1.28,896000000,476000000,3480000000,2650000000,967000000,237000000,,1060000000,7140000000,135000000,,,837000000,893000000,1270000000,20100,139000000,40500000,420000000,,,,,1078995
131445,33.97,1.42,3.47,2.19,1.58,4.08,1.32,3.94,1.04,1.69,7.14,2.85,0.47,0.08,1.4,1.27,1280000000,4580000000,126000000,84900000,67400000000,2520000000,,4060000000,71700000000,7480000000,,518000000,4930000000,,22000000000,131000000,480000000,25900000,1250000000,,311000000,188000000,2120000000,8410000000
112514,36.6,1.98,3.78,2.2,1.76,4.1,1.43,4.27,1.15,1.69,8.08,2.75,0.55,0.08,1.48,1.34,693000000,32800000000,,19800000,51800000000,1440000000,,3550000000,60500000000,9790000000,,357000000,3820000000,,14400000000,130000000,436000000,18400000,1060000000,,259000000,190000000,2040000000,7680000000
161070,37.28,2.05,3.62,2.41,1.86,4.16,1.28,4.29,1.12,1.73,8.34,3.01,0.48,0.08,1.41,1.46,1240000000,1230000000,1370000000,303000000,66900000000,2310000000,,11100000000,77500000000,7600000000,,647000000,5670000000,,23600000000,111000000,738000000,28600000,945000000,,369000000,305000000,2490000000,5620000000
162915,43.27,3.47,3.89,2.44,2.06,4.2,1.46,5.42,1.17,1.74,10.69,3.04,0.44,0.06,1.48,1.56,9360000000,46900000000,149000000,404000000,47800000000,7200000000,104000000,5030000000,72000000000,6720000000,,532000000,5600000000,,17500000000,149000000,421000000,19400000,957000000,,1240000000,190000000,2760000000,3460000000
150881,46.81,4.3,4.01,2.64,2.11,4.24,1.51,6.08,1.13,1.67,12.15,3.18,0.46,0.06,1.49,1.6,682000000,67100000000,792000000,428000000,27900000000,6590000000,28600000,4730000000,75000000000,5750000000,,511000000,5900000000,,15200000000,151000000,641000000,27800000,832000000,,242000000,228000000,3700000000,711000000
